region,latitude,longitude,temperature,oxygen_level,humidity,wind_speed,pressure,rainfall,ffmc,dmc,dc,isi,bui,fwi,historical_frequency,risk_score,risk_category,fire_occurrence
Pacific Coast Ridge,37.7446,-122.0258,26.34,21.49,6.06,3.52,1010.23,0.0,97.8,43.7,135.8,33.85,48.4,71.47,0.35,70.8,HIGH,1
Cascades Valley,45.677,-121.7404,25.13,21.24,48.56,14.73,1014.17,1.15,84.3,65.5,101.4,25.22,50.1,31.19,0.18,40.3,MEDIUM,0
Pacific Coast Ridge,37.8703,-122.4862,28.93,20.16,36.16,2.41,1032.11,0.0,91.3,56.8,420.7,23.17,84.9,43.06,0.35,63.8,HIGH,1
Cascades Valley,45.8712,-121.9566,40.51,21.69,53.68,5.89,1012.89,0.0,90.4,38.4,667.1,25.61,67.2,43.47,0.18,58.0,MEDIUM,0
High Desert Plateau,34.1191,-117.2045,29.49,20.72,57.69,9.86,1008.47,0.0,80.7,55.4,473.5,18.13,85.7,26.26,0.28,44.8,MEDIUM,0
Northern Boreal,49.3117,-122.7532,27.06,21.81,58.85,11.72,1000.87,0.65,75.1,37.7,145.3,14.49,45.7,9.73,0.22,26.8,LOW,0
Cascades Valley,45.6121,-122.0301,30.28,20.98,60.78,4.15,1022.8,0.32,79.7,31.8,301.2,13.92,50.3,10.12,0.18,25.9,LOW,0
Pacific Coast Ridge,37.8969,-122.7194,36.83,21.35,73.39,9.52,994.32,0.25,77.5,45.5,534.3,15.27,75.1,17.28,0.35,43.8,MEDIUM,0
High Desert Plateau,34.3623,-117.3312,30.44,21.0,78.46,7.7,1009.99,0.0,72.3,62.1,302.5,11.03,82.1,12.38,0.28,24.3,LOW,0
Cascades Valley,45.1733,-121.5799,24.87,20.92,52.62,18.24,1040.23,0.0,92.1,2.6,215.7,40.0,5.0,13.76,0.18,40.7,MEDIUM,0
Northern Boreal,49.185,-122.6838,17.38,20.01,51.46,17.18,1019.99,0.67,76.3,11.8,308.6,18.11,21.5,6.58,0.22,14.9,LOW,0
Northern Boreal,49.0498,-122.6943,29.85,20.86,51.61,14.79,998.66,0.0,88.5,48.3,175.8,31.24,57.2,65.09,0.22,69.0,HIGH,1
Sierra Foothills,38.2461,-120.6944,15.85,20.09,51.15,6.47,1027.65,0.99,68.7,51.3,203.5,8.78,62.9,7.57,0.48,15.3,LOW,0
Sierra Foothills,38.4212,-120.8991,25.13,20.44,62.6,14.8,1007.43,0.0,81.4,35.2,240.5,21.84,51.6,22.89,0.48,38.6,MEDIUM,0
Pacific Coast Ridge,37.665,-122.5805,35.36,22.15,32.5,4.6,1002.49,0.0,99.5,25.8,624.3,38.5,46.8,80.0,0.35,67.2,HIGH,1
Cascades Valley,45.3474,-122.0538,20.37,20.39,40.0,3.11,1020.56,0.36,80.2,59.9,207.1,13.66,69.6,13.63,0.18,24.5,LOW,0
Cascades Valley,45.4038,-121.5611,44.46,21.32,60.11,15.38,1020.09,0.0,92.1,74.4,430.1,38.23,103.9,80.0,0.18,73.8,HIGH,1
Sierra Foothills,38.4221,-120.8853,16.56,20.44,41.6,9.53,1033.86,0.83,77.0,46.2,440.9,14.87,73.2,16.19,0.48,29.6,LOW,0
Cascades Valley,45.5084,-121.8283,22.6,22.35,38.9,7.36,1015.34,0.0,88.1,22.5,469.9,24.11,40.1,22.36,0.18,44.3,MEDIUM,0
Cascades Valley,45.474,-121.877,20.02,20.87,52.48,12.81,1000.31,0.0,82.0,30.8,197.0,21.28,44.2,18.57,0.18,40.6,MEDIUM,0
Northern Boreal,49.2832,-122.6845,29.64,21.95,76.07,6.42,1019.5,3.49,58.5,45.9,367.6,5.24,69.9,5.91,0.22,0.0,LOW,0
Sierra Foothills,38.7617,-120.8883,22.57,20.49,31.31,15.27,1009.48,2.12,84.1,24.7,212.0,25.36,38.2,24.12,0.48,41.2,MEDIUM,0
High Desert Plateau,34.5893,-117.5194,40.41,22.52,32.83,2.15,1011.01,0.87,99.5,57.2,135.6,34.66,55.7,80.0,0.28,67.4,HIGH,1
Sierra Foothills,38.8252,-120.683,28.93,21.21,30.2,18.59,998.59,0.0,94.1,73.7,428.5,40.0,103.1,80.0,0.48,71.2,HIGH,1
High Desert Plateau,34.3039,-117.0279,25.01,20.95,79.78,9.85,1020.52,0.0,67.4,24.8,455.9,9.26,43.6,5.51,0.28,27.5,LOW,0
Northern Boreal,49.0646,-122.4814,19.34,21.32,27.75,5.11,986.6,0.0,88.0,17.0,234.1,22.01,28.7,12.98,0.22,33.1,MEDIUM,0
Pacific Coast Ridge,37.6073,-122.0416,28.63,21.7,61.24,12.62,990.52,0.89,76.6,30.0,587.2,16.08,53.3,13.3,0.35,31.2,MEDIUM,0
Cascades Valley,45.2873,-121.737,23.54,21.64,31.52,14.4,1028.22,0.42,92.1,17.3,243.7,37.1,29.4,60.08,0.18,54.0,MEDIUM,0
Northern Boreal,49.3146,-123.0787,42.25,20.06,78.9,10.21,1022.06,1.92,77.2,65.2,219.7,15.37,74.9,17.42,0.22,30.1,MEDIUM,0
Cascades Valley,45.6081,-121.7358,28.44,21.28,43.91,7.57,1034.2,0.0,84.9,24.6,368.1,20.7,42.2,16.72,0.18,46.2,MEDIUM,0
Pacific Coast Ridge,38.0495,-122.3771,21.29,19.48,53.51,19.37,1021.49,2.65,72.1,26.7,159.5,15.51,37.6,8.88,0.35,11.9,LOW,0
Pacific Coast Ridge,37.3795,-122.2805,14.76,19.81,50.8,12.57,1016.58,0.0,74.9,28.3,326.7,14.79,46.6,10.21,0.35,26.7,LOW,0
Northern Boreal,48.9209,-122.653,30.9,21.19,66.36,5.88,1008.34,0.0,76.2,138.7,164.6,12.53,89.3,15.63,0.22,35.7,MEDIUM,0
Pacific Coast Ridge,37.8439,-122.6421,15.25,18.93,63.4,5.32,1035.59,0.0,65.1,32.0,554.7,6.99,55.9,5.62,0.35,13.5,LOW,0
High Desert Plateau,34.3542,-116.8486,28.71,21.35,5.95,7.06,1002.9,0.0,99.5,48.1,638.8,40.0,81.0,80.0,0.28,73.0,HIGH,1
Pacific Coast Ridge,37.8223,-122.4703,28.05,22.9,56.89,6.24,1019.51,0.0,79.9,74.1,127.2,15.33,60.3,13.98,0.35,37.7,MEDIUM,0
Cascades Valley,44.8194,-121.6585,17.23,20.22,54.49,19.74,997.46,0.0,76.4,17.8,213.8,19.4,29.4,10.23,0.18,32.2,MEDIUM,0
Cascades Valley,45.176,-121.7447,33.4,19.96,35.7,16.65,1000.62,0.0,97.4,15.1,300.7,40.0,26.9,73.43,0.18,72.5,HIGH,1
Cascades Valley,45.2863,-121.8142,15.03,21.3,49.54,7.65,1028.84,0.0,78.3,11.4,241.6,14.86,20.5,4.52,0.18,10.2,LOW,0
Cascades Valley,45.6253,-121.3202,27.99,20.66,27.38,11.25,1005.3,1.87,91.0,138.5,185.2,31.94,96.5,80.0,0.18,54.7,MEDIUM,0
High Desert Plateau,34.3114,-117.1403,38.64,21.09,27.68,3.55,1012.55,0.0,99.5,90.3,693.5,36.86,136.3,80.0,0.28,76.3,HIGH,1
Sierra Foothills,38.5509,-120.9039,18.66,21.29,77.09,15.54,1041.21,3.31,54.0,38.4,503.7,5.63,64.5,5.66,0.48,0.0,LOW,0
Northern Boreal,49.0278,-122.9777,30.42,21.62,61.39,8.98,1011.32,0.0,73.7,100.7,460.0,12.38,130.2,22.44,0.22,33.0,MEDIUM,0
Cascades Valley,45.6076,-121.3813,34.86,21.66,34.75,5.18,1014.3,0.0,93.0,31.6,200.6,28.33,45.3,38.54,0.18,71.7,HIGH,1
Pacific Coast Ridge,37.7538,-122.7764,34.14,20.56,81.71,22.84,1003.31,0.63,72.2,88.0,728.6,16.97,135.1,36.89,0.35,53.9,MEDIUM,0
Cascades Valley,45.5379,-121.9024,31.96,20.89,29.85,19.11,1013.38,0.0,99.3,31.8,370.1,40.0,52.3,80.0,0.18,75.6,HIGH,1
Pacific Coast Ridge,37.891,-122.4846,34.92,20.99,53.28,12.08,993.74,0.3,90.0,62.9,669.9,31.04,101.9,80.0,0.35,67.0,HIGH,1
Pacific Coast Ridge,37.8583,-122.3696,29.67,20.43,46.13,2.43,1013.14,0.0,84.3,26.0,152.3,16.34,36.5,9.35,0.35,38.4,MEDIUM,0
Cascades Valley,45.4322,-122.2889,40.38,22.41,69.73,8.96,1019.69,0.0,83.3,74.4,194.6,20.01,76.1,28.13,0.18,51.0,MEDIUM,0
High Desert Plateau,34.6785,-117.1752,22.56,21.88,36.66,15.14,1025.16,0.0,83.3,80.4,773.4,24.35,127.6,72.82,0.28,64.0,HIGH,1
Pacific Coast Ridge,37.7311,-122.3544,15.83,20.87,50.77,15.64,1020.47,2.74,66.0,33.7,125.8,10.3,40.4,5.65,0.35,0.3,LOW,0
Pacific Coast Ridge,37.6989,-122.6625,23.11,20.13,44.89,9.44,1006.91,0.0,81.7,66.7,494.3,18.83,99.8,32.77,0.35,47.6,MEDIUM,0
Cascades Valley,45.3497,-121.9229,27.48,21.36,87.63,10.31,989.91,0.0,68.3,69.1,174.6,9.84,69.5,9.29,0.18,21.7,LOW,0
Pacific Coast Ridge,37.831,-121.9605,31.77,22.31,60.14,5.39,996.89,0.0,79.7,31.8,149.0,14.62,41.5,8.94,0.35,35.2,MEDIUM,0
Pacific Coast Ridge,37.8109,-122.0217,33.6,19.91,32.18,2.58,1026.1,0.0,93.9,60.5,193.2,26.63,67.9,48.67,0.35,67.7,HIGH,1
Cascades Valley,45.3371,-121.7324,22.26,19.3,53.23,13.04,993.16,0.0,76.6,32.1,401.8,16.31,53.5,13.67,0.18,25.3,LOW,0
Cascades Valley,45.3314,-121.9251,26.45,20.4,48.37,16.5,992.46,0.0,85.9,116.5,80.4,28.81,50.4,44.94,0.18,58.3,MEDIUM,0
Northern Boreal,49.2009,-122.9487,37.82,21.47,52.35,10.06,1016.27,0.24,92.5,100.0,389.6,33.1,121.8,80.0,0.22,62.1,HIGH,1
High Desert Plateau,34.7383,-117.0842,18.53,21.04,9.92,24.04,1016.77,0.0,97.9,13.4,239.9,40.0,23.5,64.2,0.28,71.4,HIGH,1
High Desert Plateau,34.8106,-117.2642,35.97,20.51,66.88,12.71,998.17,0.0,90.1,54.7,183.3,31.93,62.7,76.37,0.28,55.0,MEDIUM,0
Pacific Coast Ridge,37.6887,-122.4643,24.49,21.83,46.05,5.45,1000.71,1.89,77.2,48.0,291.0,12.97,68.0,12.44,0.35,21.3,LOW,0
High Desert Plateau,34.5907,-117.4934,18.55,22.29,71.06,10.57,1002.25,2.21,60.2,25.6,378.2,6.59,43.8,4.23,0.28,0.0,LOW,0
Pacific Coast Ridge,37.3986,-122.5838,28.63,20.35,16.61,4.18,996.68,1.95,89.6,42.7,378.6,22.94,66.7,33.05,0.35,45.9,MEDIUM,0
Northern Boreal,49.5853,-122.5665,33.61,21.0,49.49,19.67,983.92,0.0,94.0,25.6,361.7,40.0,43.5,80.0,0.22,67.7,HIGH,1
Cascades Valley,45.5414,-121.4585,17.41,20.37,73.45,11.05,1042.78,0.0,61.0,35.5,293.4,6.97,54.5,5.47,0.18,4.6,LOW,0
Cascades Valley,45.8852,-121.8316,23.3,20.54,64.31,8.48,1028.63,0.0,78.1,19.4,617.5,15.17,35.9,8.18,0.18,12.4,LOW,0
Cascades Valley,45.5173,-122.4027,24.73,20.21,56.97,17.07,997.41,0.0,77.5,15.8,170.5,19.17,25.6,8.71,0.18,33.8,MEDIUM,0
High Desert Plateau,34.4743,-116.8591,23.27,22.67,60.23,1.6,1001.29,0.0,78.8,64.1,401.3,11.9,91.6,15.05,0.28,22.6,LOW,0
Northern Boreal,48.738,-123.0304,16.73,20.33,56.24,11.92,995.93,0.08,74.3,14.4,210.1,14.03,24.6,5.01,0.22,10.6,LOW,0
High Desert Plateau,34.8181,-117.5311,26.07,20.6,50.66,16.25,1008.81,0.0,82.7,45.1,390.1,24.34,69.9,39.87,0.28,59.5,MEDIUM,0
High Desert Plateau,34.6404,-117.3168,33.5,20.37,55.85,15.15,1030.83,0.0,86.3,46.0,409.2,28.26,71.8,60.61,0.28,55.6,MEDIUM,0
Northern Boreal,49.1744,-122.8286,31.27,20.36,55.88,9.08,1033.75,2.11,77.8,45.4,637.8,15.27,77.0,17.73,0.22,26.3,LOW,0
Northern Boreal,49.3143,-122.5618,37.18,20.01,42.29,1.67,1005.72,1.61,90.5,180.0,329.7,21.5,150.0,64.37,0.22,46.5,MEDIUM,0
Northern Boreal,48.8307,-122.758,23.98,20.42,6.91,1.98,1017.1,0.0,99.5,69.3,203.4,34.39,74.9,80.0,0.22,67.3,HIGH,1
Northern Boreal,49.2039,-122.8386,17.68,21.09,63.26,9.1,1009.71,0.0,76.2,27.8,545.8,14.1,49.4,10.11,0.22,14.6,LOW,0
Cascades Valley,45.2518,-121.5844,27.77,19.53,63.05,15.14,1027.24,0.0,75.8,27.4,200.7,16.64,40.8,10.79,0.18,37.4,MEDIUM,0
Sierra Foothills,38.5445,-121.0324,33.84,19.64,31.35,18.85,1014.43,0.0,98.1,16.7,326.0,40.0,29.6,80.0,0.48,78.7,HIGH,1
Sierra Foothills,38.7179,-120.6329,26.25,21.32,61.69,11.22,996.85,0.0,72.8,33.0,447.3,12.71,55.8,9.94,0.48,36.0,MEDIUM,0
Northern Boreal,49.0234,-122.8919,19.4,19.76,44.35,11.5,1004.68,0.0,75.7,33.7,115.4,14.84,38.9,8.59,0.22,29.9,LOW,0
Sierra Foothills,38.6872,-120.5265,28.71,20.66,44.14,22.33,983.32,0.25,89.6,30.3,557.4,40.0,53.3,80.0,0.48,65.3,HIGH,1
Sierra Foothills,38.3096,-120.7055,25.77,20.8,45.65,8.73,1028.49,0.0,81.0,36.7,326.1,17.72,57.2,16.84,0.48,39.7,MEDIUM,0
Northern Boreal,49.382,-122.5163,9.49,20.52,41.45,4.54,1023.98,0.0,74.0,22.5,225.9,10.62,36.1,5.22,0.22,26.7,LOW,0
Sierra Foothills,38.3806,-121.1514,45.95,20.78,46.44,2.44,974.0,9.57,60.8,90.4,266.7,5.0,97.9,8.07,0.48,16.7,LOW,0
High Desert Plateau,34.9002,-116.8109,34.93,21.89,5.0,12.21,1036.68,0.0,99.5,95.0,717.1,40.0,142.7,80.0,0.28,79.6,HIGH,1
Pacific Coast Ridge,37.7231,-122.3025,27.64,20.31,23.07,5.7,988.53,0.0,98.6,113.7,527.2,38.38,147.8,80.0,0.35,61.2,HIGH,1
Pacific Coast Ridge,37.6862,-122.4647,22.78,21.21,49.09,8.2,1019.62,0.91,77.1,48.8,343.2,14.25,72.0,14.97,0.35,29.2,LOW,0
Northern Boreal,48.8845,-122.9118,39.36,20.53,56.58,3.59,996.78,0.52,86.8,67.0,451.4,19.51,97.8,34.38,0.22,50.4,MEDIUM,0
Cascades Valley,45.4839,-122.0934,30.16,20.46,25.7,14.89,1008.83,0.0,97.5,112.9,408.0,40.0,133.4,80.0,0.18,79.1,HIGH,1
Northern Boreal,49.1412,-123.0723,21.18,20.24,37.02,7.74,1004.08,0.0,87.0,32.5,268.9,23.11,49.9,25.17,0.22,42.5,MEDIUM,0
Cascades Valley,45.3423,-121.9161,32.89,21.16,43.91,6.42,1007.2,0.0,87.2,96.6,275.4,22.26,102.9,47.66,0.18,61.7,HIGH,1
Pacific Coast Ridge,37.7179,-122.4125,39.51,21.94,51.55,14.31,1001.08,0.0,95.8,94.1,551.9,40.0,131.9,80.0,0.35,78.4,HIGH,1
Northern Boreal,48.7126,-122.7332,35.36,20.51,21.23,6.62,999.71,0.0,99.5,95.2,643.3,40.0,139.0,80.0,0.22,82.0,HIGH,1
High Desert Plateau,34.6617,-117.1793,31.02,19.69,47.4,15.18,1020.87,0.0,88.2,34.1,292.5,31.18,52.8,59.66,0.28,60.7,HIGH,1
Sierra Foothills,38.3666,-121.2786,31.66,20.47,46.35,12.34,987.42,0.0,88.5,51.6,430.6,29.03,79.4,72.33,0.48,63.8,HIGH,1
Cascades Valley,45.4955,-121.7089,22.52,21.22,27.53,12.94,1008.71,0.76,89.2,39.5,559.8,30.62,67.1,71.72,0.18,48.4,MEDIUM,0
Sierra Foothills,38.5247,-120.9643,16.95,21.1,55.97,9.37,1001.92,0.0,73.8,30.4,206.1,12.62,44.5,7.85,0.48,24.7,LOW,0
Sierra Foothills,38.7655,-121.318,20.15,20.38,26.99,17.64,996.54,1.66,87.1,24.3,788.0,31.56,45.1,52.98,0.48,56.4,MEDIUM,0
Northern Boreal,49.279,-123.0676,25.71,22.58,5.0,12.67,1016.37,1.0,99.1,39.4,256.7,40.0,56.9,80.0,0.22,70.9,HIGH,1
Sierra Foothills,38.689,-121.0243,33.91,20.62,49.83,13.1,1024.18,0.0,89.3,73.7,657.5,31.06,115.1,80.0,0.48,71.1,HIGH,1
High Desert Plateau,34.4497,-117.0592,23.3,21.51,52.77,17.76,996.9,0.0,84.2,52.2,339.6,27.33,75.4,57.97,0.28,54.9,MEDIUM,0
Sierra Foothills,38.2189,-121.3379,36.6,21.77,49.02,5.4,1016.15,2.16,82.3,44.4,258.8,16.7,62.1,16.5,0.48,36.3,MEDIUM,0
Northern Boreal,49.1677,-122.9334,20.4,20.53,66.83,29.57,1014.15,5.3,56.1,98.8,152.7,8.72,75.5,9.02,0.22,0.0,LOW,0
High Desert Plateau,34.5313,-117.5607,27.85,19.57,79.03,18.04,1016.97,0.33,75.9,27.3,193.0,18.12,40.4,12.35,0.28,31.8,MEDIUM,0
Pacific Coast Ridge,37.6143,-122.5265,17.37,22.06,43.51,18.87,1029.13,0.0,80.3,32.8,727.1,23.09,58.9,29.65,0.35,53.6,MEDIUM,0
Sierra Foothills,38.0819,-120.8032,27.0,20.44,64.53,6.67,1001.83,0.0,79.7,21.2,237.0,15.37,34.6,8.04,0.48,34.4,MEDIUM,0
Northern Boreal,49.1182,-122.9745,30.85,20.01,77.49,7.01,1019.13,0.0,74.8,34.5,394.6,12.16,56.6,9.55,0.22,23.6,LOW,0
Pacific Coast Ridge,38.1906,-122.1778,41.71,20.91,58.8,9.87,1006.55,0.78,90.8,155.9,385.0,30.22,150.0,80.0,0.35,67.1,HIGH,1
Pacific Coast Ridge,37.6466,-122.3431,14.72,21.88,37.91,19.64,997.13,0.0,87.8,26.9,170.1,34.48,38.5,60.52,0.35,55.1,MEDIUM,0
Cascades Valley,45.3628,-121.2926,24.48,21.29,59.73,8.45,1013.79,0.0,82.9,54.7,435.5,19.32,83.3,28.74,0.18,42.2,MEDIUM,0
High Desert Plateau,34.326,-117.0636,11.99,21.04,62.48,4.11,1004.41,1.38,55.9,15.8,123.4,4.2,23.9,1.82,0.28,0.0,LOW,0
Sierra Foothills,38.8677,-121.2313,38.44,19.88,71.7,13.0,1026.47,0.0,87.5,59.4,321.7,28.16,81.2,67.89,0.48,59.3,MEDIUM,0
Northern Boreal,49.4782,-123.0007,25.56,21.81,61.11,7.87,1040.09,1.16,64.0,100.0,577.7,7.29,139.6,14.47,0.22,22.5,LOW,0
Cascades Valley,45.2464,-121.7607,35.5,20.61,58.35,16.04,1003.0,1.4,84.1,1.8,300.9,25.94,3.5,2.32,0.18,26.5,LOW,0
High Desert Plateau,34.2396,-116.9492,31.66,20.68,64.51,3.4,987.11,0.0,78.3,43.3,547.2,12.59,72.4,12.74,0.28,34.7,MEDIUM,0
Cascades Valley,45.4894,-121.4733,14.66,21.53,34.71,9.84,1011.18,0.16,83.7,14.2,774.0,21.08,27.2,11.19,0.18,33.7,MEDIUM,0
High Desert Plateau,34.6238,-117.3554,44.96,20.52,42.3,4.27,1027.36,0.0,99.0,65.4,850.0,37.12,109.7,80.0,0.28,85.6,CRITICAL,1
High Desert Plateau,34.4347,-117.1976,29.58,19.48,36.22,5.75,1014.14,0.0,92.3,55.7,710.8,28.02,93.1,76.68,0.28,61.3,HIGH,1
Sierra Foothills,38.8243,-120.9198,28.82,20.26,46.07,4.87,1011.03,0.96,84.3,78.3,293.0,18.09,93.9,28.67,0.48,47.3,MEDIUM,0
High Desert Plateau,34.1946,-117.2723,17.35,19.81,37.51,5.73,1012.28,1.26,77.2,58.2,200.5,13.11,67.5,12.51,0.28,29.3,LOW,0
Cascades Valley,45.3204,-121.5041,33.02,20.75,63.51,15.55,1013.01,0.25,81.7,64.1,850.0,22.72,107.9,52.35,0.18,54.0,MEDIUM,0
High Desert Plateau,34.3689,-117.3396,20.51,22.46,33.4,8.51,1001.22,1.91,82.4,35.5,466.0,18.86,59.6,19.65,0.28,24.2,LOW,0
Sierra Foothills,38.2355,-120.8785,31.3,19.87,8.75,5.39,1005.89,0.0,99.5,28.9,300.4,39.74,46.6,80.0,0.48,77.9,HIGH,1
Sierra Foothills,38.4344,-120.8248,26.62,21.63,63.87,16.33,1007.59,2.34,71.5,45.9,212.1,13.86,59.6,11.92,0.48,19.9,LOW,0
Cascades Valley,45.6727,-121.6643,40.63,21.01,57.19,7.23,1026.7,0.0,93.6,38.0,322.9,31.66,58.7,69.67,0.18,66.7,HIGH,1
Pacific Coast Ridge,38.0751,-122.7562,18.72,20.84,52.59,10.05,1002.13,0.0,75.3,28.2,290.3,13.87,45.4,9.09,0.35,25.1,LOW,0
Pacific Coast Ridge,38.1361,-122.0539,29.14,21.49,21.17,11.69,1021.08,0.0,99.5,52.7,473.7,40.0,82.4,80.0,0.35,79.7,HIGH,1
High Desert Plateau,34.3526,-117.4154,27.83,19.87,43.47,13.53,1022.74,0.0,92.8,29.7,110.2,37.53,35.5,75.61,0.28,57.2,MEDIUM,0
Northern Boreal,48.7797,-122.9021,35.29,21.28,59.7,17.71,1013.85,0.0,88.7,20.7,163.3,34.27,31.5,48.45,0.22,67.2,HIGH,1
High Desert Plateau,34.6893,-117.0487,24.62,20.66,20.39,17.8,1019.18,0.14,99.5,73.9,328.8,40.0,94.7,80.0,0.28,69.7,HIGH,1
Cascades Valley,45.5088,-121.8818,25.72,21.55,38.21,16.11,1011.49,0.0,89.3,27.2,464.1,33.76,47.5,69.42,0.18,67.3,HIGH,1
Cascades Valley,45.3587,-122.1982,20.98,20.49,80.37,18.3,1008.23,0.0,68.3,72.3,286.3,12.43,88.6,15.36,0.18,28.6,LOW,0
Cascades Valley,45.5451,-121.7995,29.19,21.38,37.15,5.18,992.33,0.0,90.8,109.7,290.8,25.45,112.9,71.92,0.18,60.1,HIGH,1
Cascades Valley,45.1326,-121.976,12.73,22.14,69.55,9.31,1006.11,0.0,64.0,38.2,135.7,7.67,44.9,4.83,0.18,6.5,LOW,0
Cascades Valley,45.1981,-122.0063,30.23,21.96,35.29,7.93,988.4,0.0,99.2,20.5,585.3,40.0,37.7,80.0,0.18,62.0,HIGH,1
Sierra Foothills,38.6636,-120.91,4.95,21.93,89.46,2.47,1019.5,0.1,46.6,9.7,188.2,2.44,17.2,1.1,0.48,6.7,LOW,0
Pacific Coast Ridge,38.156,-122.1072,27.91,20.6,22.43,24.7,994.61,0.0,99.5,33.6,335.6,40.0,53.8,80.0,0.35,77.2,HIGH,1
Cascades Valley,45.8019,-121.9035,28.53,20.62,52.53,9.77,1032.47,4.12,67.5,83.4,223.2,9.29,86.2,10.92,0.18,4.1,LOW,0
Northern Boreal,49.7741,-123.1011,40.07,20.64,57.44,13.13,1026.64,0.0,94.0,130.2,302.4,39.25,125.4,80.0,0.22,62.9,HIGH,1
Northern Boreal,48.8371,-122.9227,35.42,21.13,6.42,6.83,1016.01,0.19,99.5,82.6,223.1,40.0,85.8,80.0,0.22,78.5,HIGH,1
Northern Boreal,48.8074,-122.6572,38.86,20.39,79.14,14.29,1015.81,0.0,85.4,73.8,629.0,26.34,114.1,79.49,0.22,61.7,HIGH,1
Northern Boreal,48.829,-122.537,18.95,20.39,73.06,12.78,1011.65,0.37,70.3,17.8,303.9,11.76,31.1,5.03,0.22,20.0,LOW,0
Sierra Foothills,38.6803,-120.9082,6.07,20.49,37.29,2.32,1020.12,0.0,75.9,24.3,354.6,10.66,41.5,6.03,0.48,29.5,LOW,0
Northern Boreal,49.131,-123.0178,18.4,20.42,69.93,5.52,1006.58,1.61,58.4,31.3,163.2,5.03,42.4,3.5,0.22,5.6,LOW,0
Cascades Valley,45.824,-121.6969,34.37,20.43,15.26,6.72,1045.0,0.0,99.5,13.7,481.9,40.0,25.6,69.93,0.18,75.8,HIGH,1
High Desert Plateau,34.2306,-117.4011,28.92,21.51,22.37,18.86,1001.77,1.3,95.7,66.4,833.9,40.0,110.7,80.0,0.28,69.3,HIGH,1
Northern Boreal,49.1266,-122.5805,30.33,20.14,28.74,9.05,1010.29,0.0,97.0,56.5,151.9,39.99,58.6,80.0,0.22,68.9,HIGH,1
Sierra Foothills,38.8889,-120.5254,33.25,21.47,49.18,17.62,1007.04,0.0,91.4,38.0,94.9,39.12,38.0,80.0,0.48,70.1,HIGH,1
Sierra Foothills,38.7742,-120.5852,27.45,19.74,30.23,1.57,1026.54,0.0,98.1,74.6,509.0,31.39,109.2,80.0,0.48,63.7,HIGH,1
Northern Boreal,49.3955,-122.5601,14.81,20.6,26.51,16.16,1022.69,0.0,83.2,8.9,335.1,24.91,16.7,10.06,0.22,41.9,MEDIUM,0
High Desert Plateau,33.5606,-117.0741,14.61,19.24,10.65,8.05,983.18,0.0,92.7,20.6,104.2,31.25,27.6,31.41,0.28,62.0,HIGH,1
Northern Boreal,49.5626,-122.9544,38.71,22.09,75.51,8.96,1014.27,0.86,77.4,45.1,225.1,14.88,60.1,13.31,0.22,35.8,MEDIUM,0
