timestamp,building_id,zone_id,zone_type,flammability,temperature,humidity,smoke_index,electrical_load,occupancy,wind_speed,scenario,risk_score,risk_level,fire_hazard_label
2026-01-01T13:09:21Z,building_b,bldg_b_storage,storage,4.1,29.32,11.07,3.24,31.39,1,11.3,dry_conditions,26.12,LOW,0
2026-01-01T13:12:54Z,building_b,bldg_b_storage,storage,4.1,34.13,10.81,7.0,53.67,1,7.3,dry_conditions,30.58,MEDIUM,0
2026-01-01T13:15:21Z,building_c,bldg_c_corridor,corridor,1.9,36.3,33.3,0.69,77.93,3,5.9,hot_weather,17.73,LOW,0
2026-01-01T13:18:46Z,building_b,bldg_b_class2,classroom,2.2,38.58,25.24,2.88,57.42,56,14.0,hot_weather,25.27,LOW,0
2026-01-01T13:25:33Z,building_c,bldg_c_office,office,2.5,29.04,12.31,1.36,32.86,22,4.3,dry_conditions,18.67,LOW,0
2026-01-01T13:54:01Z,building_c,bldg_c_kitchen,kitchen,4.7,48.53,33.18,13.35,154.18,6,4.9,electrical_overload,47.02,MEDIUM,0
2026-01-01T14:18:30Z,building_c,bldg_c_kitchen,kitchen,4.7,26.41,11.44,3.39,59.06,7,7.2,dry_conditions,22.69,LOW,0
2026-01-01T14:21:41Z,building_c,bldg_c_exit_a,exit,1.0,21.36,51.93,0.69,41.82,1,5.2,normal,2.21,LOW,0
2026-01-01T14:22:54Z,building_b,bldg_b_storage,storage,4.1,53.28,14.41,87.52,79.9,2,2.1,critical,76.79,HIGH,1
2026-01-01T14:31:13Z,building_c,bldg_c_exit_b,exit,1.0,19.76,41.62,1.38,24.47,0,15.5,normal,3.42,LOW,0
2026-01-01T14:33:33Z,building_a,bldg_a_lab2,lab,3.5,21.59,50.91,0.16,21.1,7,10.6,normal,6.57,LOW,0
2026-01-01T14:56:36Z,building_a,bldg_a_storage,storage,4.9,25.5,45.97,0.3,47.72,2,10.3,normal,7.37,LOW,0
2026-01-01T15:04:03Z,building_c,bldg_c_exit_a,exit,1.0,22.16,49.82,1.29,25.54,0,4.1,normal,2.76,LOW,0
2026-01-01T15:06:45Z,building_a,bldg_a_exit_b,exit,1.0,19.98,43.62,1.08,34.08,0,8.5,normal,7.08,LOW,0
2026-01-01T15:41:23Z,building_b,bldg_b_class1,classroom,2.2,22.1,58.43,2.14,39.57,55,4.6,normal,4.5,LOW,0
2026-01-01T15:53:09Z,building_a,bldg_a_exit_b,exit,1.0,21.62,53.11,0.81,38.16,1,2.1,normal,6.61,LOW,0
2026-01-01T15:54:22Z,building_c,bldg_c_storage,storage,4.3,25.49,10.6,1.2,46.17,1,10.3,dry_conditions,19.27,LOW,0
2026-01-01T16:29:04Z,building_a,bldg_a_corridor,corridor,1.8,23.11,49.29,0.47,32.27,4,10.1,normal,2.57,LOW,0
2026-01-01T16:33:45Z,building_b,bldg_b_exit_b,exit,1.0,19.85,51.43,0.98,37.5,0,3.6,normal,2.28,LOW,0
2026-01-01T16:38:55Z,building_c,bldg_c_storage,storage,4.3,24.73,63.57,0.32,39.03,2,10.6,normal,10.61,LOW,0
2026-01-01T17:07:48Z,building_b,bldg_b_class1,classroom,2.2,19.59,53.88,1.61,33.0,56,5.3,normal,3.12,LOW,0
2026-01-01T17:16:39Z,building_a,bldg_a_lab1,lab,4.2,23.82,46.01,1.16,51.6,14,7.4,normal,9.75,LOW,0
2026-01-01T17:19:23Z,building_c,bldg_c_exit_b,exit,1.0,36.81,21.08,1.49,43.86,0,6.9,hot_weather,24.86,LOW,0
2026-01-01T17:44:34Z,building_c,bldg_c_kitchen,kitchen,4.7,53.76,15.65,88.24,149.12,7,2.7,critical,83.78,HIGH,1
2026-01-01T17:49:31Z,building_a,bldg_a_exit_b,exit,1.0,35.33,36.69,25.78,124.46,1,2.9,electrical_overload,37.75,MEDIUM,0
2026-01-01T18:08:37Z,building_b,bldg_b_storage,storage,4.1,36.38,46.93,20.41,105.33,1,2.0,electrical_overload,32.9,MEDIUM,0
2026-01-01T18:31:00Z,building_b,bldg_b_server,server_room,4.6,24.34,46.84,1.22,21.02,3,6.9,normal,9.26,LOW,0
2026-01-01T18:53:45Z,building_c,bldg_c_kitchen,kitchen,4.7,22.63,49.82,1.76,15.98,9,9.8,normal,11.05,LOW,0
2026-01-01T19:39:53Z,building_a,bldg_a_lab2,lab,3.5,21.78,49.01,0.64,32.27,0,2.9,normal,8.34,LOW,0
2026-01-01T19:54:44Z,building_b,bldg_b_exit_b,exit,1.0,26.57,12.1,1.84,51.37,0,4.5,dry_conditions,17.13,LOW,0
2026-01-01T20:03:57Z,building_c,bldg_c_corridor,corridor,1.9,21.18,46.26,0.08,16.86,0,10.4,normal,3.03,LOW,0
2026-01-01T20:26:07Z,building_a,bldg_a_corridor,corridor,1.8,40.84,17.75,0.14,72.52,0,1.2,hot_weather,26.43,LOW,0
2026-01-01T20:31:34Z,building_c,bldg_c_storage,storage,4.3,22.94,53.49,2.94,37.35,1,10.7,normal,9.71,LOW,0
2026-01-01T20:34:44Z,building_b,bldg_b_server,server_room,4.6,21.98,53.36,0.32,34.68,0,3.5,normal,5.95,LOW,0
2026-01-01T21:19:32Z,building_a,bldg_a_corridor,corridor,1.8,67.57,14.4,91.64,133.58,0,1.9,critical,89.12,CRITICAL,1
2026-01-01T21:25:32Z,building_a,bldg_a_lab1,lab,4.2,24.71,12.58,0.29,49.5,3,8.6,dry_conditions,25.72,LOW,0
2026-01-01T22:08:59Z,building_a,bldg_a_exit_a,exit,1.0,36.72,46.93,24.11,108.9,0,7.7,electrical_overload,30.25,MEDIUM,0
2026-01-01T22:10:55Z,building_b,bldg_b_class2,classroom,2.2,34.37,26.11,0.0,90.98,5,3.0,hot_weather,23.83,LOW,0
2026-01-01T22:22:34Z,building_a,bldg_a_corridor,corridor,1.8,44.74,35.19,11.98,141.22,0,6.0,electrical_overload,40.27,MEDIUM,0
2026-01-01T22:27:30Z,building_c,bldg_c_storage,storage,4.3,37.42,15.69,3.24,62.5,2,8.1,hot_weather,27.92,LOW,0
2026-01-01T22:43:04Z,building_b,bldg_b_storage,storage,4.1,40.73,30.26,36.58,80.05,0,5.0,smoke_increase,40.13,MEDIUM,0
2026-01-01T23:56:19Z,building_a,bldg_a_lab1,lab,4.2,22.56,51.13,0.21,36.16,1,8.7,normal,8.11,LOW,0
2026-01-02T00:09:10Z,building_b,bldg_b_class2,classroom,2.2,37.05,31.28,0.9,72.93,7,8.3,hot_weather,23.03,LOW,0
2026-01-02T00:36:00Z,building_a,bldg_a_corridor,corridor,1.8,26.82,8.71,1.8,61.48,0,7.2,dry_conditions,21.57,LOW,0
2026-01-02T00:55:14Z,building_b,bldg_b_exit_b,exit,1.0,19.96,44.89,0.35,30.22,0,6.5,normal,2.59,LOW,0
2026-01-02T01:23:06Z,building_c,bldg_c_office,office,2.5,25.29,29.48,18.78,85.0,5,9.0,electrical_overload,20.28,LOW,0
2026-01-02T01:32:45Z,building_c,bldg_c_kitchen,kitchen,4.7,82.96,10.96,84.76,61.27,0,15.0,critical,81.57,HIGH,1
2026-01-02T01:35:32Z,building_b,bldg_b_server,server_room,4.6,23.77,42.62,0.7,46.63,2,1.8,normal,12.14,LOW,0
2026-01-02T01:40:55Z,building_b,bldg_b_exit_b,exit,1.0,20.24,51.57,0.36,35.36,0,7.0,normal,0.55,LOW,0
2026-01-02T01:41:13Z,building_b,bldg_b_server,server_room,4.6,22.93,66.93,1.12,31.63,0,5.7,normal,9.14,LOW,0
2026-01-02T01:48:55Z,building_c,bldg_c_office,office,2.5,36.2,34.14,14.28,120.78,3,3.5,electrical_overload,36.87,MEDIUM,0
2026-01-02T02:16:08Z,building_b,bldg_b_exit_a,exit,1.0,30.48,24.78,7.17,65.43,0,1.1,hot_weather,15.89,LOW,0
2026-01-02T02:57:05Z,building_c,bldg_c_storage,storage,4.3,22.09,51.19,0.46,56.42,1,4.2,normal,8.09,LOW,0
2026-01-02T03:05:21Z,building_c,bldg_c_kitchen,kitchen,4.7,39.21,18.49,1.0,64.56,1,11.8,hot_weather,31.34,MEDIUM,0
2026-01-02T03:23:14Z,building_b,bldg_b_exit_a,exit,1.0,21.19,63.84,0.94,28.22,0,8.9,normal,0.0,LOW,0
2026-01-02T03:23:51Z,building_b,bldg_b_class1,classroom,2.2,24.99,11.69,0.38,34.56,11,9.2,dry_conditions,17.79,LOW,0
2026-01-02T03:30:10Z,building_c,bldg_c_kitchen,kitchen,4.7,26.92,61.8,0.09,31.67,0,4.8,normal,14.52,LOW,0
2026-01-02T03:34:42Z,building_b,bldg_b_exit_a,exit,1.0,18.88,50.73,0.23,32.91,0,4.5,normal,4.07,LOW,0
2026-01-02T03:37:01Z,building_a,bldg_a_elec,electrical,4.8,44.74,41.02,23.56,134.47,0,13.5,electrical_overload,41.39,MEDIUM,0
2026-01-02T03:57:52Z,building_a,bldg_a_exit_b,exit,1.0,20.63,56.46,1.38,26.89,0,5.8,normal,0.45,LOW,0
2026-01-02T04:33:27Z,building_b,bldg_b_class1,classroom,2.2,23.85,53.17,0.35,25.72,9,6.4,normal,7.12,LOW,0
2026-01-02T04:52:33Z,building_a,bldg_a_elec,electrical,4.8,22.99,54.84,1.27,33.22,0,17.3,normal,10.72,LOW,0
2026-01-02T05:08:09Z,building_b,bldg_b_storage,storage,4.1,23.99,52.24,0.8,35.65,0,4.1,normal,8.95,LOW,0
2026-01-02T05:13:28Z,building_b,bldg_b_server,server_room,4.6,24.28,54.14,0.17,28.9,2,4.7,normal,10.15,LOW,0
2026-01-02T05:15:24Z,building_b,bldg_b_corridor,corridor,1.5,66.06,18.04,79.6,65.84,2,2.3,critical,75.45,HIGH,1
2026-01-02T05:37:17Z,building_c,bldg_c_exit_a,exit,1.0,35.48,27.49,29.49,120.93,0,8.2,electrical_overload,36.76,MEDIUM,0
2026-01-02T05:55:01Z,building_c,bldg_c_corridor,corridor,1.9,44.67,34.58,33.52,160.0,0,8.8,electrical_overload,44.1,MEDIUM,0
2026-01-02T05:57:07Z,building_b,bldg_b_server,server_room,4.6,51.07,25.92,51.64,90.12,0,6.5,smoke_increase,58.04,MEDIUM,0
2026-01-02T06:19:56Z,building_a,bldg_a_lab2,lab,3.5,23.16,44.73,0.71,25.05,0,11.1,normal,6.75,LOW,0
2026-01-02T06:28:04Z,building_a,bldg_a_lab2,lab,3.5,23.14,55.59,0.29,34.7,0,6.1,normal,9.77,LOW,0
2026-01-02T06:42:46Z,building_a,bldg_a_elec,electrical,4.8,23.16,50.87,1.52,38.15,1,6.5,normal,9.51,LOW,0
2026-01-02T06:43:28Z,building_a,bldg_a_storage,storage,4.9,48.9,44.4,8.57,139.54,0,3.5,electrical_overload,40.79,MEDIUM,0
2026-01-02T06:43:34Z,building_b,bldg_b_class2,classroom,2.2,29.49,8.92,2.44,63.49,7,6.6,dry_conditions,23.82,LOW,0
2026-01-02T06:48:51Z,building_a,bldg_a_exit_b,exit,1.0,21.75,58.84,1.68,19.32,0,16.2,normal,4.22,LOW,0
2026-01-02T07:04:02Z,building_b,bldg_b_class1,classroom,2.2,16.91,54.08,0.29,26.73,6,10.6,normal,3.53,LOW,0
2026-01-02T07:20:59Z,building_a,bldg_a_exit_b,exit,1.0,19.78,46.31,0.89,36.13,0,8.2,normal,0.66,LOW,0
2026-01-02T07:35:18Z,building_b,bldg_b_class1,classroom,2.2,35.18,21.91,1.19,65.03,8,6.7,hot_weather,23.26,LOW,0
2026-01-02T07:38:48Z,building_b,bldg_b_server,server_room,4.6,55.05,40.95,20.22,160.0,0,4.6,electrical_overload,48.68,MEDIUM,0
2026-01-02T07:47:55Z,building_b,bldg_b_storage,storage,4.1,22.22,49.13,3.33,33.86,0,6.6,normal,12.7,LOW,0
2026-01-02T08:44:20Z,building_a,bldg_a_lab1,lab,4.2,38.03,21.8,62.86,51.73,8,3.7,smoke_increase,49.28,MEDIUM,0
2026-01-02T09:10:36Z,building_a,bldg_a_elec,electrical,4.8,19.66,61.95,0.95,46.27,1,9.6,normal,3.99,LOW,0
2026-01-02T09:14:09Z,building_c,bldg_c_office,office,2.5,31.48,11.21,1.19,55.61,32,10.6,dry_conditions,21.86,LOW,0
2026-01-02T09:19:24Z,building_a,bldg_a_storage,storage,4.9,50.48,31.88,53.57,71.79,1,11.3,smoke_increase,57.55,MEDIUM,0
2026-01-02T09:22:22Z,building_a,bldg_a_lab2,lab,3.5,34.36,28.62,63.13,70.32,9,10.4,smoke_increase,43.76,MEDIUM,0
2026-01-02T09:56:39Z,building_b,bldg_b_storage,storage,4.1,23.64,45.62,0.16,21.8,0,8.3,normal,14.87,LOW,0
2026-01-02T10:20:32Z,building_b,bldg_b_server,server_room,4.6,25.08,56.02,0.31,31.95,3,11.1,normal,11.32,LOW,0
2026-01-02T10:33:35Z,building_a,bldg_a_lab2,lab,3.5,21.54,50.68,0.37,12.31,4,10.4,normal,6.74,LOW,0
2026-01-02T10:37:19Z,building_a,bldg_a_elec,electrical,4.8,26.17,45.11,0.77,42.14,1,4.3,normal,15.25,LOW,0
2026-01-02T10:42:27Z,building_a,bldg_a_lab2,lab,3.5,34.66,18.85,2.48,72.98,7,12.0,hot_weather,28.3,LOW,0
2026-01-02T10:52:35Z,building_a,bldg_a_storage,storage,4.9,36.26,33.48,35.0,66.55,0,9.2,smoke_increase,35.84,MEDIUM,0
2026-01-02T10:54:27Z,building_c,bldg_c_kitchen,kitchen,4.7,25.33,49.81,0.01,23.17,8,6.3,normal,11.21,LOW,0
2026-01-02T10:57:35Z,building_b,bldg_b_exit_b,exit,1.0,18.87,57.5,1.35,40.99,0,8.1,normal,0.0,LOW,0
2026-01-02T11:03:23Z,building_a,bldg_a_lab2,lab,3.5,21.63,58.75,0.5,36.04,6,1.5,normal,10.48,LOW,0
2026-01-02T11:07:00Z,building_a,bldg_a_elec,electrical,4.8,47.35,22.94,50.81,92.98,0,11.8,smoke_increase,58.19,MEDIUM,0
2026-01-02T11:14:01Z,building_a,bldg_a_storage,storage,4.9,76.65,11.08,90.12,77.43,1,2.7,critical,89.86,CRITICAL,1
2026-01-02T11:27:52Z,building_b,bldg_b_exit_b,exit,1.0,21.03,48.34,0.27,40.29,0,7.4,normal,0.0,LOW,0
2026-01-02T11:28:31Z,building_a,bldg_a_exit_b,exit,1.0,18.13,52.0,1.59,19.41,0,11.8,normal,0.0,LOW,0
2026-01-02T11:49:25Z,building_b,bldg_b_class1,classroom,2.2,27.75,14.5,1.65,43.22,70,10.9,dry_conditions,20.67,LOW,0
2026-01-02T11:49:50Z,building_c,bldg_c_kitchen,kitchen,4.7,29.27,15.15,0.21,65.89,10,13.8,dry_conditions,23.67,LOW,0
2026-01-02T12:16:40Z,building_c,bldg_c_kitchen,kitchen,4.7,20.89,50.57,0.63,37.31,7,14.1,normal,7.3,LOW,0
2026-01-02T12:20:47Z,building_b,bldg_b_class2,classroom,2.2,27.64,35.7,32.79,85.0,58,7.5,electrical_overload,25.67,LOW,0
2026-01-02T12:24:59Z,building_b,bldg_b_exit_a,exit,1.0,70.38,14.54,89.95,52.98,2,10.2,critical,77.51,HIGH,1
2026-01-02T12:39:26Z,building_c,bldg_c_exit_a,exit,1.0,34.28,19.74,2.59,75.19,0,6.9,hot_weather,19.42,LOW,0
2026-01-02T12:40:53Z,building_a,bldg_a_exit_b,exit,1.0,37.79,22.6,0.03,58.61,0,9.1,hot_weather,21.21,LOW,0
2026-01-02T13:07:06Z,building_c,bldg_c_corridor,corridor,1.9,21.52,49.38,2.04,40.78,1,7.7,normal,0.27,LOW,0
2026-01-02T13:15:15Z,building_c,bldg_c_exit_b,exit,1.0,36.55,18.9,0.41,74.11,0,8.7,hot_weather,26.06,LOW,0
2026-01-02T13:26:32Z,building_a,bldg_a_corridor,corridor,1.8,21.08,52.9,0.62,29.19,6,7.7,normal,5.69,LOW,0
2026-01-02T13:38:53Z,building_a,bldg_a_storage,storage,4.9,23.95,44.88,0.48,36.68,0,7.5,normal,7.89,LOW,0
2026-01-02T13:43:56Z,building_a,bldg_a_exit_b,exit,1.0,23.97,55.09,1.74,58.27,0,6.6,normal,9.08,LOW,0
2026-01-02T14:08:27Z,building_b,bldg_b_exit_a,exit,1.0,22.41,57.36,0.77,25.1,0,8.2,normal,1.9,LOW,0
2026-01-02T14:14:39Z,building_c,bldg_c_kitchen,kitchen,4.7,24.0,55.69,0.18,26.85,8,11.2,normal,6.41,LOW,0
2026-01-02T14:24:51Z,building_b,bldg_b_corridor,corridor,1.5,34.49,27.46,1.03,76.6,10,10.0,hot_weather,18.5,LOW,0
2026-01-02T14:42:10Z,building_a,bldg_a_corridor,corridor,1.8,27.83,21.54,2.26,71.51,3,6.5,hot_weather,16.36,LOW,0
2026-01-02T14:45:48Z,building_b,bldg_b_exit_a,exit,1.0,32.03,25.34,0.57,75.93,0,3.8,hot_weather,16.32,LOW,0
2026-01-02T14:49:56Z,building_a,bldg_a_exit_b,exit,1.0,21.84,53.59,1.33,32.44,0,2.1,normal,4.06,LOW,0
2026-01-02T14:50:01Z,building_c,bldg_c_exit_a,exit,1.0,20.86,53.74,0.0,29.22,0,4.9,normal,2.82,LOW,0
2026-01-02T15:06:11Z,building_a,bldg_a_lab1,lab,4.2,40.23,34.03,22.44,122.05,14,7.7,electrical_overload,43.73,MEDIUM,0
2026-01-02T15:10:03Z,building_b,bldg_b_class2,classroom,2.2,20.01,54.74,0.37,38.49,53,8.0,normal,3.71,LOW,0
2026-01-02T15:12:11Z,building_b,bldg_b_exit_a,exit,1.0,55.65,10.06,99.5,101.05,0,4.0,critical,82.29,HIGH,1
2026-01-02T15:31:46Z,building_a,bldg_a_exit_a,exit,1.0,22.5,59.18,0.12,48.82,0,15.3,normal,4.43,LOW,0
2026-01-02T15:33:04Z,building_b,bldg_b_storage,storage,4.1,36.72,21.09,3.01,59.71,1,19.1,hot_weather,27.84,LOW,0
2026-01-02T15:40:49Z,building_b,bldg_b_storage,storage,4.1,25.16,51.24,0.27,37.99,0,9.6,normal,14.41,LOW,0
2026-01-02T15:59:56Z,building_c,bldg_c_exit_b,exit,1.0,31.74,18.35,1.94,67.49,0,3.4,hot_weather,20.01,LOW,0
2026-01-02T16:04:15Z,building_b,bldg_b_corridor,corridor,1.5,40.22,33.38,28.79,127.54,15,6.1,electrical_overload,36.17,MEDIUM,0
2026-01-02T16:17:54Z,building_a,bldg_a_exit_b,exit,1.0,44.11,37.32,61.76,69.93,0,4.6,smoke_increase,40.32,MEDIUM,0
2026-01-02T16:20:09Z,building_a,bldg_a_elec,electrical,4.8,64.65,11.91,81.21,124.14,0,11.3,critical,89.89,CRITICAL,1
2026-01-02T16:43:31Z,building_a,bldg_a_elec,electrical,4.8,24.69,48.21,0.4,48.67,1,9.2,normal,11.95,LOW,0
2026-01-02T16:59:41Z,building_c,bldg_c_exit_b,exit,1.0,38.15,27.96,1.84,86.92,0,4.8,hot_weather,27.74,LOW,0
2026-01-02T17:01:26Z,building_b,bldg_b_exit_a,exit,1.0,19.7,57.64,0.55,22.05,0,2.7,normal,2.32,LOW,0
2026-01-02T17:01:28Z,building_b,bldg_b_class1,classroom,2.2,34.18,21.86,4.65,93.44,56,6.8,hot_weather,26.28,LOW,0
2026-01-02T17:20:04Z,building_a,bldg_a_lab2,lab,3.5,21.32,49.73,2.63,39.75,10,10.0,normal,9.35,LOW,0
2026-01-02T17:34:51Z,building_a,bldg_a_exit_b,exit,1.0,40.88,35.22,23.97,145.78,0,12.8,electrical_overload,34.73,MEDIUM,0
2026-01-02T18:06:49Z,building_a,bldg_a_exit_a,exit,1.0,37.24,21.06,48.44,96.73,0,6.8,smoke_increase,45.15,MEDIUM,0
2026-01-02T18:09:18Z,building_b,bldg_b_server,server_room,4.6,23.27,47.04,0.1,45.86,4,7.4,normal,11.44,LOW,0
2026-01-02T18:31:29Z,building_b,bldg_b_class1,classroom,2.2,24.35,51.8,1.43,24.29,79,3.3,normal,8.42,LOW,0
2026-01-02T18:33:15Z,building_a,bldg_a_storage,storage,4.9,23.13,44.98,0.17,29.03,1,3.8,normal,8.72,LOW,0
2026-01-02T18:39:39Z,building_a,bldg_a_elec,electrical,4.8,33.84,11.6,1.11,34.83,0,4.2,dry_conditions,28.38,LOW,0
2026-01-02T19:20:11Z,building_c,bldg_c_exit_a,exit,1.0,19.34,49.39,0.3,36.15,0,1.6,normal,0.18,LOW,0
2026-01-02T19:21:05Z,building_b,bldg_b_class2,classroom,2.2,31.26,39.79,35.0,77.79,8,9.3,smoke_increase,26.41,LOW,0
2026-01-02T19:27:14Z,building_b,bldg_b_storage,storage,4.1,35.01,14.16,0.32,75.35,0,5.3,dry_conditions,28.97,LOW,0
2026-01-02T19:32:36Z,building_c,bldg_c_kitchen,kitchen,4.7,37.83,25.89,1.81,93.36,0,5.1,hot_weather,34.38,MEDIUM,0
2026-01-02T19:53:58Z,building_b,bldg_b_class1,classroom,2.2,37.4,13.53,0.18,60.0,8,2.6,hot_weather,27.11,LOW,0
2026-01-02T19:54:27Z,building_c,bldg_c_exit_b,exit,1.0,22.89,51.13,0.44,28.91,0,4.7,normal,3.21,LOW,0
2026-01-02T19:56:41Z,building_c,bldg_c_corridor,corridor,1.9,31.63,29.06,49.09,63.83,1,12.7,smoke_increase,34.04,MEDIUM,0
2026-01-02T19:57:37Z,building_c,bldg_c_corridor,corridor,1.9,37.61,28.8,0.05,73.22,1,9.0,hot_weather,23.56,LOW,0
2026-01-02T20:12:31Z,building_c,bldg_c_exit_b,exit,1.0,74.3,15.09,83.98,117.64,1,13.3,critical,85.13,CRITICAL,1
2026-01-02T20:33:33Z,building_b,bldg_b_storage,storage,4.1,35.49,23.45,0.52,61.35,0,4.6,hot_weather,25.43,LOW,0
2026-01-02T21:04:51Z,building_a,bldg_a_exit_b,exit,1.0,24.71,13.63,0.22,44.43,1,3.3,dry_conditions,11.5,LOW,0
2026-01-02T21:09:21Z,building_a,bldg_a_lab1,lab,4.2,25.64,45.85,0.59,25.94,1,4.0,normal,8.74,LOW,0
2026-01-02T21:18:04Z,building_a,bldg_a_lab2,lab,3.5,40.14,22.05,0.0,69.61,0,8.8,hot_weather,26.72,LOW,0
2026-01-02T21:26:40Z,building_c,bldg_c_corridor,corridor,1.9,25.63,10.49,2.17,59.76,0,6.5,dry_conditions,20.26,LOW,0
2026-01-02T21:54:39Z,building_a,bldg_a_storage,storage,4.9,30.88,12.3,3.48,39.05,1,9.6,dry_conditions,28.09,LOW,0
2026-01-02T21:57:07Z,building_c,bldg_c_corridor,corridor,1.9,27.04,10.57,0.67,29.67,1,8.5,dry_conditions,19.36,LOW,0
2026-01-02T21:59:46Z,building_c,bldg_c_corridor,corridor,1.9,19.25,48.78,2.42,39.12,1,11.6,normal,4.69,LOW,0
2026-01-02T22:01:38Z,building_c,bldg_c_corridor,corridor,1.9,66.47,12.1,76.03,119.64,0,4.2,critical,82.45,HIGH,1
2026-01-02T22:11:53Z,building_a,bldg_a_lab1,lab,4.2,61.87,12.8,96.09,84.42,0,1.0,critical,85.43,CRITICAL,1
2026-01-02T22:23:30Z,building_a,bldg_a_lab1,lab,4.2,23.43,49.05,0.5,31.35,0,1.0,normal,9.48,LOW,0
2026-01-02T22:30:39Z,building_a,bldg_a_storage,storage,4.9,36.77,27.08,72.76,77.16,0,9.4,smoke_increase,59.01,MEDIUM,0
2026-01-02T22:34:11Z,building_a,bldg_a_elec,electrical,4.8,20.81,49.89,0.0,40.47,0,3.4,normal,4.9,LOW,0
2026-01-02T23:09:55Z,building_a,bldg_a_elec,electrical,4.8,29.92,14.53,4.33,52.77,0,7.6,dry_conditions,24.94,LOW,0
2026-01-02T23:14:26Z,building_c,bldg_c_exit_a,exit,1.0,19.81,47.55,0.34,47.64,0,11.3,normal,0.0,LOW,0
2026-01-02T23:37:12Z,building_a,bldg_a_lab1,lab,4.2,65.01,15.17,83.81,48.62,2,2.9,critical,78.82,HIGH,1
2026-01-02T23:47:51Z,building_b,bldg_b_storage,storage,4.1,21.32,46.22,0.12,27.76,0,11.2,normal,6.05,LOW,0
2026-01-03T00:01:59Z,building_a,bldg_a_exit_a,exit,1.0,22.19,49.38,0.29,33.18,0,6.2,normal,2.57,LOW,0
2026-01-03T00:05:14Z,building_a,bldg_a_corridor,corridor,1.8,19.51,48.82,0.28,31.17,1,12.2,normal,3.67,LOW,0
2026-01-03T00:07:50Z,building_b,bldg_b_corridor,corridor,1.5,22.03,48.4,0.46,13.95,2,14.3,normal,0.98,LOW,0
2026-01-03T00:12:35Z,building_c,bldg_c_corridor,corridor,1.9,32.5,25.85,3.16,73.52,0,5.4,hot_weather,16.86,LOW,0
2026-01-03T00:16:42Z,building_a,bldg_a_exit_a,exit,1.0,19.92,51.0,0.38,41.07,0,4.1,normal,0.0,LOW,0
2026-01-03T00:23:52Z,building_a,bldg_a_storage,storage,4.9,31.63,11.97,0.4,57.52,0,6.7,dry_conditions,25.62,LOW,0
2026-01-03T00:32:09Z,building_c,bldg_c_exit_b,exit,1.0,58.87,16.4,79.9,106.33,0,7.2,critical,75.28,HIGH,1
